End (ISO 8601),End Date,End Time (24 Hour),End Timestamp (Unix),End Timezone (UTC Offset Minutes),Duration (Seconds)
2025-08-13T09:41:00.000-04:00,2025-08-13,09:41:00,1755092460,-240,2400
2025-08-13T10:26:00.000-04:00,2025-08-13,10:26:00,1755095160,-240,2400
2025-08-13T11:06:00.000-04:00,2025-08-13,11:06:00,1755097560,-240,2400
2025-08-13T11:46:00.000-04:00,2025-08-13,11:46:00,1755099960,-240,2400
2025-08-13T18:50:00.000-04:00,2025-08-13,18:50:00,1755125400,-240,2400
2025-08-13T19:30:00.000-04:00,2025-08-13,19:30:00,1755127800,-240,2400
2025-08-13T20:10:00.000-04:00,2025-08-13,20:10:00,1755130200,-240,2400
2025-08-13T21:26:00.000-04:00,2025-08-13,21:26:00,1755134760,-240,2400
2025-08-13T22:06:00.000-04:00,2025-08-13,22:06:00,1755137160,-240,2400
2025-08-13T22:46:00.000-04:00,2025-08-13,22:46:00,1755139560,-240,2400
2025-08-13T23:26:00.000-04:00,2025-08-13,23:26:00,1755141960,-240,2400
2025-08-14T09:35:00.000-04:00,2025-08-14,09:35:00,1755178500,-240,2400
2025-08-14T10:22:00.000-04:00,2025-08-14,10:22:00,1755181320,-240,2400
2025-08-14T11:02:00.000-04:00,2025-08-14,11:02:00,1755183720,-240,2400
2025-08-14T11:42:00.000-04:00,2025-08-14,11:42:00,1755186120,-240,2400
2025-08-14T12:22:00.000-04:00,2025-08-14,12:22:00,1755188520,-240,2400
2025-08-15T10:03:00.000-04:00,2025-08-15,10:03:00,1755266580,-240,2400
2025-08-15T10:43:00.000-04:00,2025-08-15,10:43:00,1755268980,-240,2400
2025-08-15T11:24:00.000-04:00,2025-08-15,11:24:00,1755271440,-240,2400
2025-08-16T09:00:00.000-04:00,2025-08-16,09:00:00,1755352800,-240,2400
2025-08-16T10:00:00.000-04:00,2025-08-16,10:00:00,1755356400,-240,2400
2025-08-16T11:00:00.000-04:00,2025-08-16,11:00:00,1755360000,-240,2400
2025-08-16T14:00:00.000-04:00,2025-08-16,14:00:00,1755370800,-240,2400
2025-08-16T15:00:00.000-04:00,2025-08-16,15:00:00,1755374400,-240,2400
2025-08-16T16:00:00.000-04:00,2025-08-16,16:00:00,1755378000,-240,2400
2025-08-17T08:00:00.000-04:00,2025-08-17,08:00:00,1755439200,-240,2400
2025-08-17T09:00:00.000-04:00,2025-08-17,09:00:00,1755442800,-240,2400
2025-08-17T10:00:00.000-04:00,2025-08-17,10:00:00,1755446400,-240,2400
2025-08-17T11:00:00.000-04:00,2025-08-17,11:00:00,1755450000,-240,2400
2025-08-17T14:00:00.000-04:00,2025-08-17,14:00:00,1755460800,-240,2400
2025-08-17T15:00:00.000-04:00,2025-08-17,15:00:00,1755464400,-240,2400
2025-08-17T16:00:00.000-04:00,2025-08-17,16:00:00,1755468000,-240,2400
2025-08-17T17:00:00.000-04:00,2025-08-17,17:00:00,1755471600,-240,2400
2025-08-17T18:00:00.000-04:00,2025-08-17,18:00:00,1755475200,-240,2400
